id,brand,category,shoe,colorway,gender,imageUrl,thumbUrl,releaseDate,belowRetail,retailPrice,styleId,tickerSymbol,title,urlKey,marketAnnualHigh,marketAnnualLow,marketSalesLast72Hours,marketLowestAsk,marketLowestAskSize,marketHighestBid,marketHighestBidSize
869d972c-50fb-4c5f-a216-ab1ca550e2d4,Jordan,Air Jordan One,Jordan 1 Low,White/Wolf Grey-Aluminium,women,"https://images.stockx.com/images/Air-Jordan-1-Low-Wolf-Grey-W-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1626802392","https://images.stockx.com/images/Air-Jordan-1-Low-Wolf-Grey-W-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1626802392",,False,100,DC0774-105,JB-JO1LWGWW,Jordan 1 Low Wolf Grey (W),air-jordan-1-low-wolf-grey-w,303,133,262,198,5.5W,203,11.5W
f9602d3e-2ebc-41c9-881d-af50d0a1897f,Jordan,Air Jordan One,Jordan 1 Mid,Black/University Red-Black-White,men,"https://images.stockx.com/images/Air-Jordan-1-Mid-Banned-2020-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606326136","https://images.stockx.com/images/Air-Jordan-1-Mid-Banned-2020-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606326136",2020-11-12,False,115,554724-074,JB-JO1MBBU,Jordan 1 Mid Banned (2020),air-jordan-1-mid-banned-2020,380,61,257,155,8,210,14
28aff902-d9a8-4dfa-b6b8-12d2971eefcb,Jordan,Air Jordan One,Jordan 1 Retro High,Hyper Royal/Light Smoke Grey-White,men,"https://images.stockx.com/images/Air-Jordan-1-Retro-High-Hyper-Royal-Smoke-Grey-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1618238995","https://images.stockx.com/images/Air-Jordan-1-Retro-High-Hyper-Royal-Smoke-Grey-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1618238995",2021-04-17,False,170,555088-402,JB-JO1RHHRHL,Jordan 1 Retro High OG Hyper Royal,air-jordan-1-retro-high-hyper-royal-smoke-grey,1743,211,243,314,18,394,6.5
09db9502-8089-4cef-b565-baacb343803b,Jordan,Air Jordan One,Jordan 1 Mid,White/Gym Red-Black,child,"https://images.stockx.com/images/Air-Jordan-1-Mid-Black-Gym-Red-GS-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1620058916","https://images.stockx.com/images/Air-Jordan-1-Mid-Black-Gym-Red-GS-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1620058916",2021-04-16,False,90,DJ4695-122,JB-JO1MBGRBG,Jordan 1 Mid Gym Red Black White (GS),air-jordan-1-mid-black-gym-red-gs,154,68,238,100,3.5Y,120,6.5Y
ec02b5e0-249c-4962-b43f-7b051dedac0f,Jordan,Air Jordan One,Jordan 1 High OG,White/Electro Orange-Black,child,"https://images.stockx.com/images/Air-Jordan-1-High-OG-Electro-Orange-GS-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1629140752","https://images.stockx.com/images/Air-Jordan-1-High-OG-Electro-Orange-GS-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1629140752",2021-07-17,False,130,575441-180,JB-JO1HOEOWE,Jordan 1 High OG Electro Orange (GS),air-jordan-1-high-og-electro-orange-gs,233,107,236,131,4Y,157,5Y
d81c37e2-f59e-423e-9d70-85f2d1671942,Jordan,Air Jordan One,Jordan 1 Mid,Dutch Green/Black-Barely Green,women,"https://images.stockx.com/images/Air-Jordan-1-Mid-Dutch-Green-W-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1619195132","https://images.stockx.com/images/Air-Jordan-1-Mid-Dutch-Green-W-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1619195132",2021-04-12,False,130,CZ0774-300,JB-JO1MDGD,Jordan 1 Mid Dutch Green (W),air-jordan-1-mid-dutch-green-w,357,131,233,142,11.5W,239,8W
36d340af-3d2a-4689-8c2f-99adb4e9ccd5,Jordan,Air Jordan One,Jordan 1 Low,Black/Particle Grey-White,child,"https://images.stockx.com/images/Air-Jordan-1-Low-Black-White-Grey-GS-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1624989727","https://images.stockx.com/images/Air-Jordan-1-Low-Black-White-Grey-GS-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1624989727",,False,75,553560-040,JB-JO1LBWGBP,Jordan 1 Low Black White Grey (GS),air-jordan-1-low-black-white-grey-gs,239,90,230,127,5.5Y,134,4.5Y
9394c93a-8c1e-4a7c-a655-30dbe34c4305,Jordan,Air Jordan One,Jordan 1 Mid,Black/White-Varsity Royal,child,"https://images.stockx.com/images/Air-Jordan-1-Mid-White-Black-Royal-GS-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1629740154","https://images.stockx.com/images/Air-Jordan-1-Mid-White-Black-Royal-GS-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1629740154",,False,0,554725 140,JB-JO1MWBRBW,Jordan 1 Mid White Black Royal (GS),air-jordan-1-mid-white-black-royal-gs,159,71,211,105,3.5Y,106,7Y
41bec511-0568-415a-a1a7-6b7704b85cd5,Jordan,Air Jordan One,Jordan 1 Mid,White/Black-University Blue,women,"https://images.stockx.com/images/Air-Jordan-1-Mid-University-Black-White-W-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1624989808","https://images.stockx.com/images/Air-Jordan-1-Mid-University-Black-White-W-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1624989808",2021-04-26,False,115,BQ6472-102,JB-JO1MUBWUB,Jordan 1 Mid University Black White (W),air-jordan-1-mid-university-black-white-w,279,116,208,142,11W,185,7.5W
03dd651d-df95-42bf-ab84-41919477a5d3,Jordan,Air Jordan One,Jordan 1 Mid,Black/White-Black,men,"https://images.stockx.com/images/Air-Jordan-1-Mid-Carbon-Fiber-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1612285690","https://images.stockx.com/images/Air-Jordan-1-Mid-Carbon-Fiber-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1612285690",2021-02-01,False,125,DD1649-001,JB-JO1MCFBW,Jordan 1 Mid Carbon Fiber All-Star (2021),air-jordan-1-mid-carbon-fiber,469,90,201,158,13,240,7
